218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/ HTTP/1.1" 200 3988
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/style/main.css HTTP/1.1" 200 20647
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/bind_polyfill.js HTTP/1.1" 200 220
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/classlist_polyfill.js HTTP/1.1" 200 1794
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/animframe_polyfill.js HTTP/1.1" 200 890
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/html_actuator.js HTTP/1.1" 200 4040
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/keyboard_input_manager.js HTTP/1.1" 200 4005
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/local_storage_manager.js HTTP/1.1" 200 1588
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/grid.js HTTP/1.1" 200 2526
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/tile.js HTTP/1.1" 200 594
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/application.js HTTP/1.1" 200 197
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/style/fonts/clear-sans.css HTTP/1.1" 200 1078
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/js/game_manager.js HTTP/1.1" 200 7627
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/style/fonts/ClearSans-Bold-webfont.woff HTTP/1.1" 200 27120
218.205.55.216 - - [25/Oct/2023:00:20:57 +0800] "GET /2048/style/fonts/ClearSans-Regular-webfont.woff HTTP/1.1" 200 26764
218.205.55.216 - - [25/Oct/2023:00:20:58 +0800] "GET /2048/favicon.ico HTTP/1.1" 200 4286
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/ HTTP/1.1" 200 3720
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/menpai.png HTTP/1.1" 200 208842
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/css/main.css HTTP/1.1" 200 3916
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/highmaps.js HTTP/1.1" 200 387364
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/yp.png HTTP/1.1" 200 747982
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/yunzhe.png HTTP/1.1" 200 778474
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/cb.jpg HTTP/1.1" 200 69932
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/drilldown.js HTTP/1.1" 200 18182
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/nunjucks.min.js HTTP/1.1" 200 81932
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/exporting.src.js HTTP/1.1" 200 121852
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/china.js HTTP/1.1" 200 146097
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/banhui.png HTTP/1.1" 200 384477
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/imgs/yizhong.png HTTP/1.1" 200 491391
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/zhejiang.js HTTP/1.1" 200 71201
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/beijing.js HTTP/1.1" 200 58247
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/jiangsu.js HTTP/1.1" 200 59813
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/neimenggu.js HTTP/1.1" 200 46086
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/guangdong.js HTTP/1.1" 200 107777
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/tianjin.js HTTP/1.1" 200 40784
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/hebei.js HTTP/1.1" 200 41821
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/font/SanJiYaYuanJianTi-Regular-2.ttf HTTP/1.1" 200 7793724
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/shanxi.js HTTP/1.1" 200 35272
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/liaoning.js HTTP/1.1" 200 93315
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/heilongjiang.js HTTP/1.1" 200 83182
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/jilin.js HTTP/1.1" 200 79204
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/shanghai.js HTTP/1.1" 200 48223
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/anhui.js HTTP/1.1" 200 74478
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/fujian.js HTTP/1.1" 200 67694
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/jiangxi.js HTTP/1.1" 200 73913
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/shandong.js HTTP/1.1" 200 93853
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/henan.js HTTP/1.1" 200 98387
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/hunan.js HTTP/1.1" 200 97511
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/hubei.js HTTP/1.1" 200 91252
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/guangxi.js HTTP/1.1" 200 102974
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/hainan.js HTTP/1.1" 200 15120
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/chongqing.js HTTP/1.1" 200 96167
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/sichuan.js HTTP/1.1" 200 94633
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/guizhou.js HTTP/1.1" 200 71548
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/xizang.js HTTP/1.1" 200 74691
127.0.0.1 - - [25/Oct/2023:00:21:16 +0800] "GET /map/js/province/yunnan.js HTTP/1.1" 200 70883
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/province/shanxi2.js HTTP/1.1" 200 43115
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/province/gansu.js HTTP/1.1" 200 61045
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/province/qinghai.js HTTP/1.1" 200 55822
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/province/ningxia.js HTTP/1.1" 200 29626
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/province/xinjiang.js HTTP/1.1" 200 73800
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/data.js HTTP/1.1" 200 6265
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/map.js HTTP/1.1" 200 4675
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/js/more.js HTTP/1.1" 200 1702
127.0.0.1 - - [25/Oct/2023:00:21:17 +0800] "GET /map/font/AaLingJunTi-2.ttf HTTP/1.1" 200 26441728
127.0.0.1 - - [25/Oct/2023:00:21:36 +0800] "GET /map HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2023:00:21:39 +0800] "GET /map/font/YeZiGongChangQingLangShouJinTi-2.ttf HTTP/1.1" 200 8837152
127.0.0.1 - - [25/Oct/2023:00:22:20 +0800] "GET /host-manager HTTP/1.1" 302 -
127.0.0.1 - - [25/Oct/2023:00:22:20 +0800] "GET /host-manager/ HTTP/1.1" 302 -
